"Step","ppo_bc_seed_5__2024_03_11_09_00_37_506684.Loki - metrics/success","ppo_bc_seed_5__2024_03_11_09_00_37_506684.Loki - metrics/success__MIN","ppo_bc_seed_5__2024_03_11_09_00_37_506684.Loki - metrics/success__MAX","ppo_bc_seed_4__2024_03_05_19_46_20_853524.musashi - metrics/success","ppo_bc_seed_4__2024_03_05_19_46_20_853524.musashi - metrics/success__MIN","ppo_bc_seed_4__2024_03_05_19_46_20_853524.musashi - metrics/success__MAX","ppo_bc_seed_3__2024_03_05_16_49_23_496569.musashi - metrics/success","ppo_bc_seed_3__2024_03_05_16_49_23_496569.musashi - metrics/success__MIN","ppo_bc_seed_3__2024_03_05_16_49_23_496569.musashi - metrics/success__MAX","ppo_bc_seed_1__2024_02_28_23_52_08_777211.musashi - metrics/success","ppo_bc_seed_1__2024_02_28_23_52_08_777211.musashi - metrics/success__MIN","ppo_bc_seed_1__2024_02_28_23_52_08_777211.musashi - metrics/success__MAX","ppo_bc_seed_2__2024_02_28_23_51_36_019616.musashi - metrics/success","ppo_bc_seed_2__2024_02_28_23_51_36_019616.musashi - metrics/success__MIN","ppo_bc_seed_2__2024_02_28_23_51_36_019616.musashi - metrics/success__MAX"
"64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","0","0","0","0","0","0","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0"
"77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0"
"101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","0","0","0","0","0","0","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"128","0","0","0","0","0","0","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"129","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"132","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0"
"133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"141","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"144","0","0","0","0","0","0","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"145","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"149","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"152","0","0","0","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0"
"153","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0","0","0","0"
"156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"157","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"161","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0","0","0","0"
"164","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"165","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"169","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"176","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0"
"177","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"180","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0"
"181","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"184","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"185","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"188","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"189","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"192","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.800000011920929","0.800000011920929","0.800000011920929"
"193","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0","0","0","0"
"196","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.800000011920929","0.800000011920929","0.800000011920929","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"197","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.6000000238418579","0.6000000238418579","0.6000000238418579"
"201","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"204","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"208","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.6000000238418579","0.6000000238418579","0.6000000238418579"
"209","0.6000000238418579","0.6000000238418579","0.6000000238418579","0","0","0","0","0","0","0","0","0","0","0","0"
"212","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.6000000238418579","0.6000000238418579","0.6000000238418579"
"213","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"216","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.800000011920929","0.800000011920929","0.800000011920929"
"217","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"220","0","0","0","0","0","0","0","0","0","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"221","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0","0","0","0"
"224","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"225","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0","0","0","0"
"228","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"232","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.800000011920929","0.800000011920929","0.800000011920929","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"233","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"236","0","0","0","0.6000000238418579","0.6000000238418579","0.6000000238418579","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"237","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"240","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"241","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"244","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"245","0.6000000238418579","0.6000000238418579","0.6000000238418579","0","0","0","0","0","0","0","0","0","0","0","0"
"248","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0.6000000238418579","0.6000000238418579","0.6000000238418579"
"249","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"252","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0"
"253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"256","0","0","0","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"257","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"260","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0"
"261","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"264","0","0","0","0","0","0","0","0","0","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"265","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0","0","0","0"
"268","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"272","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0"
"273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"276","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"277","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"280","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"281","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"284","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0"
"285","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"288","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"292","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"293","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"296","0","0","0","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0"
"297","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"300","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0"
"301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"304","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"305","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"308","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"309","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"312","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.6000000238418579","0.6000000238418579","0.6000000238418579"
"313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"316","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.6000000238418579","0.6000000238418579","0.6000000238418579","0","0","0"
"317","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"320","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"321","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"324","0","0","0","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0"
"325","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"328","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0","0","0"
"329","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"332","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.800000011920929","0.800000011920929","0.800000011920929","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"336","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","1","1","1","0.6000000238418579","0.6000000238418579","0.6000000238418579","0","0","0"
"337","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"340","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.800000011920929","0.800000011920929","0.800000011920929","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"341","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"344","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"345","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"348","0","0","0","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"349","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"352","0","0","0","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"353","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"356","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.800000011920929","0.800000011920929","0.800000011920929","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"357","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0","0","0","0"
"360","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.800000011920929","0.800000011920929","0.800000011920929","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"361","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"364","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.800000011920929","0.800000011920929","0.800000011920929"
"365","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0","0","0","0"
"368","0","0","0","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0"
"369","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"372","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0"
"373","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"376","0","0","0","0","0","0","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.800000011920929","0.800000011920929","0.800000011920929","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"377","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"380","0","0","0","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.800000011920929","0.800000011920929","0.800000011920929","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"381","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"384","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"385","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0","0","0","0"
"388","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.800000011920929","0.800000011920929","0.800000011920929"
"389","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0","0","0","0"
"392","0","0","0","1","1","1","0.800000011920929","0.800000011920929","0.800000011920929","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.6000000238418579","0.6000000238418579","0.6000000238418579"
"393","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0","0","0","0","0","0","0","0","0","0"
"396","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"397","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"400","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.6000000238418579","0.6000000238418579","0.6000000238418579"
"401","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"404","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"405","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"408","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"409","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"412","0","0","0","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"413","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"416","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"417","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"420","0","0","0","1","1","1","0.800000011920929","0.800000011920929","0.800000011920929","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"421","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"424","0","0","0","1","1","1","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"425","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0","0","0","0","0","0","0"
"428","0","0","0","1","1","1","1","1","1","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"429","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"432","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.800000011920929","0.800000011920929","0.800000011920929"
